	Model	Dataset	No. topics	Label type	Homogeneity Score	Completeness Score	AMI Score	Distributions
0	LDA	BGL-within	4	Unsupervised	0.0845271181198824	0.018751482434000162	0.021310804243818884	"[0 1 2 1 2 0 1 0 1 1 1 0 2 1 0 3 0 0 2 1 0 1 1 0 2 2 1 2 1 1 2 0 1 1 2 2 2
 1 0 0 0 2 1 1 1 3 0 0 0 0 1 0 2 3 1 1 1 1 1 1 0 1 1 1 3 2 1 1 1 0 1 2 0 2
 3 1 1 0 1 1 1 1 1 2 1 3 0 1 0 1 1 1 1 0 1 2 2 2 1 2 0 2 1 3 1 1 1 2 1 1 2
 1 1 1 0 0 0 3 1 1 2 2 2 0 1 0 0 2 2 0 2 0 0 0 0 1 0 1 1 1 1 0 1 0 0 2 1 0
 2 1 1 2 1 1 2 1 2 2 2 1 1 1 1 2 0 1 2 1 1 0 1 1 2 0 1 1 1 0 1 1 1 1 1 0 0
 1 0 1 1 2 2 2 1 1 1 1 0 2 1 2 2 1 0 0 0 1 1 2 2 2 1 1 1 1 1 1 0 0 1 1 1 1
 2 1 2 1 0 3 2 1 1 2 2 1 1 0 1 2 0 1]"
1	BERTopic	BGL-within	4	Unsupervised	0.1984788051629387	0.07377034566269036	0.09460548957778947	[2, 0, 0, 0, 1, 0, 0, 0, -1, 0, 0, 1, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, -1, -1, 0, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, 0, 0, 0, -1, 2, -1, 0, -1, 0, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 0, -1, -1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 2, 0]
2	BERTopic	BGL-within	4	Binary	0.040217334955367286	0.01105649029248173	0.006249024923248355	[2, 0, 1, 0, 1, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, -1, 0, 0, 0, -1, 0, 0, 0, -1, 1, -1, 0, 0, -1, -1, -1, 0, 0, -1, 0, -1, 0, 1, -1, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, -1, -1, 0, -1, 1, 0, 0, 0, 0, 0, -1, 0, 1, 0, 1, 1, 0, -1, 0, 0, -1, 0, 1, 2, -1, 1, 0, 1, 0, 0, 0, -1, 0, 0, 1, -1, 1, 0, 1, 0, -1, -1, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, -1, 1, 0, 0, -1, 0, 0, 0, -1, 2, 0, 1, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, -1, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, 0, -1, 0, 0, 0, 0, 0, -1, 2, 1, -1, -1, -1, 1, 0, -1, 0, -1, 0, 0, 2, 0]
3	BERTopic	BGL-within	4	Multiclass	0.09690990755552867	0.02485636873459796	0.02945146466242394	[2, 0, 1, 0, 1, 0, 0, 0, -1, 0, 0, 1, 0, 0, -1, 1, 0, 0, 0, 0, -1, 0, 0, -1, 1, 1, 0, 0, -1, -1, -1, 0, 0, -1, 0, 0, 0, 1, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, -1, -1, -1, -1, 1, 0, 0, 0, 0, 0, -1, 1, 1, 0, 1, 1, -1, 1, 0, 0, -1, 0, 1, 2, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, -1, 1, 0, 1, 0, -1, -1, 0, 0, -1, 0, 0, 0, 0, -1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, -1, 1, -1, 0, -1, 0, 0, 0, -1, 2, -1, 1, -1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, -1, -1, 0, 0, 0, 0, -1, 0, 1, 0, 0, 0, -1, -1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, -1, 1, 0, 1, -1, 0, 0, 0, 0, -1, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0, 0, 0, 0, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 2, 1, -1, -1, 0, 1, 0, 0, 0, -1, 0, 0, 2, 0]
4	LDA	BGL-within	8	Unsupervised	0.20318949671616315	0.028361516007183358	0.03451982078564682	"[5 0 1 0 2 0 1 3 0 5 0 1 1 5 1 4 5 1 0 0 0 0 0 6 1 7 0 5 5 5 5 3 0 7 1 7 0
 4 5 6 3 1 0 5 5 4 4 0 7 1 7 7 0 5 5 0 0 0 3 5 6 0 0 0 4 1 0 0 0 5 0 1 5 2
 3 0 7 2 3 5 2 0 0 1 0 3 3 7 3 0 0 0 7 5 5 0 5 6 5 1 0 1 7 3 5 7 3 6 0 3 0
 5 0 0 3 1 1 4 7 6 5 0 6 3 0 5 0 1 0 3 1 0 6 0 6 4 3 0 0 3 5 3 0 3 6 5 5 6
 7 0 3 0 7 0 6 0 1 5 3 3 3 3 0 0 4 5 1 5 0 6 4 3 3 6 0 4 7 0 0 0 7 0 0 6 0
 0 0 0 0 1 6 0 6 5 7 0 2 6 0 5 5 5 6 6 6 0 2 0 0 3 2 5 0 0 3 0 0 1 0 6 0 3
 6 0 0 5 5 3 0 3 0 1 6 6 3 5 5 5 5 5]"
5	BERTopic	BGL-within	8	Unsupervised	0.2771031932643469	0.06400644172692709	0.08487915464811488	[6, 0, 2, 0, 5, -1, 0, 0, 0, 0, 0, 3, 0, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, -1, 0, 0, 2, 0, 0, 0, 0, 0, 4, 3, -1, 0, 0, -1, 1, 0, 0, 0, 0, 0, -1, -1, 1, 0, 1, 1, 0, 5, 0, 0, -1, 0, 2, 6, 5, 1, 0, 1, 5, 0, 0, 1, 0, 0, 2, 0, 1, 0, 1, 0, -1, -1, 0, -1, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, -1, 1, 0, 0, -1, 0, 0, 0, 0, 6, -1, 2, -1, 0, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, -1, 0, 2, 0, 0, 3, 0, 0, 0, 3, -1, 0, 1, 0, 1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, -1, -1, 0, 2, 0, 0, 0, 0, 0, 0, 6, 0]
6	BERTopic	BGL-within	8	Binary	0.08585202483854805	0.02006730685909543	0.011938151093101148	[5, 0, 1, 0, 6, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 2, 0, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, 0, -1, 0, -1, 0, 0, -1, 0, -1, 0, 2, -1, 0, 0, 1, 0, -1, 0, 0, 0, 3, 0, -1, -1, 0, 0, 4, 0, 0, 0, 0, 0, -1, 0, 2, 0, 2, -1, 0, 6, 0, 0, -1, -1, 1, 5, -1, 2, 0, 4, 0, 0, 0, 2, 0, 0, 1, -1, 4, 0, 4, 0, -1, -1, 0, -1, -1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, -1, 2, -1, 0, -1, 0, 0, 0, -1, 5, 0, 1, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, -1, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, -1, 6, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 5, 2, -1, -1, 0, 1, 0, 0, 0, 0, 0, 0, 5, 0]
7	BERTopic	BGL-within	8	Multiclass	0.1630961277567302	0.0340037626827155	0.03733135964701166	[6, 0, 2, 0, 5, 0, 0, 0, -1, 0, 0, 3, 0, 0, -1, 1, -1, 0, 0, 0, -1, 0, 0, 0, 2, 1, 0, -1, -1, 0, -1, 0, 0, -1, 0, -1, 0, 1, -1, 0, 0, 2, 0, -1, 0, 0, 0, 4, 3, -1, 0, -1, -1, 1, 0, 0, 0, 0, 0, -1, 3, 1, 0, 1, -1, 0, 5, 0, 0, 0, -1, 2, 6, -1, 1, 0, 1, 5, 0, 0, 1, 0, 0, 2, -1, 1, 0, 1, 0, -1, -1, 0, -1, -1, 0, 0, 0, 0, 0, 2, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, -1, 1, 0, 0, -1, 0, 0, 0, -1, 6, -1, 2, -1, 0, 0, -1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, -1, -1, 0, 0, 0, 0, -1, 0, 3, 0, 0, 0, -1, -1, 0, 2, 0, 0, 3, 0, 0, 0, 3, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, -1, -1, 0, 0, 0, -1, 0, 0, 4, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 3, 0, 0, 0, 0, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 6, 1, -1, -1, 0, 2, 0, 0, 0, 0, 0, 0, 6, 0]
8	LDA	BGL-within	16	Unsupervised	0.27821722318836967	0.028319431694344244	0.02681383983251214	"[12 13  0 13  5  8 15  7  5 13 11  6 15 13 12  2 14 15 11  5  4 13 13 15
  0  6 13  5  1  4  4  7 13  0 15  4 13 10  8  0  7  0 13  6 13 15 15  5
  6  4  0  4  6  2 13  3 13 13  8  5 14  9 13  9  2  5 11 13 13  5  5  0
 12  8 15 13  3  1  8 13  1 13 11  0 13  2  7  3  7  6  1 13  3  4 13 13
  0  0  1  0  7  0 10 15 13  0 13  0 11  8 13 13  9 13 13  8  4  9 13 13
  0 11  0  7  5 12  8  0  1 13  5  4 14  8 10 15 13  1 13  8  1 13  4 13
 10  0 14  0  4  1  8  7 10 13  5 13  8  5  7  2  8  8 13 14 14 13  0 13
 11  9  7  8 15 14 13  1  3 12  9 13 10 11 13 10  6 13  1 11 13 14  0  7
  5 13 13 13  6  0 13  5  5 13  0 10 10 13  5  1  1  7  2  6  5 13  8  1
  5 12 13  5 13  8  0 13  7  5 12 15 10  8  3  0  0 13  8  4 13  8 12 13]"
9	BERTopic	BGL-within	16	Unsupervised	0.4381378454827747	0.05263697430603385	0.07018898183253452	[14, -1, 3, 0, 11, 2, 6, 1, -1, 1, 1, 4, 6, 1, -1, 5, 0, 6, 1, -1, 0, 0, 0, 2, 3, 9, 0, 0, 0, 0, -1, 1, 0, -1, 6, -1, 0, 13, -1, 0, 1, 3, -1, 0, 1, 6, 8, 7, 4, -1, -1, 9, 8, 10, 1, 6, 1, 1, 1, -1, 4, 13, 0, 13, 5, 8, 11, 0, 0, 0, 0, 3, 14, -1, 5, 0, 10, 11, 1, 1, -1, 0, 1, 3, -1, 10, 1, 10, 1, -1, -1, 0, -1, -1, 1, 0, 0, 1, 0, 3, 0, 3, 0, 5, 1, 0, 1, 1, 1, 1, 0, 1, 13, -1, 0, 6, -1, 5, -1, 0, 0, 1, 1, 1, -1, 14, -1, 3, 0, 0, 12, -1, 4, 8, 1, 0, 0, 0, 0, 1, 6, 0, -1, 0, 1, -1, -1, 0, 0, 0, 1, -1, 0, 0, 12, 0, 6, -1, 1, 4, 1, 1, 1, -1, -1, 1, 3, 1, 1, 4, 8, 1, 6, 4, 0, 0, 10, 8, 13, 8, -1, 1, 0, 1, -1, 9, 0, 1, 0, 0, 1, 0, 7, 1, 0, 0, 11, 1, -1, 12, 6, 1, 0, 1, 1, -1, 0, 0, 0, 1, 9, 0, 0, -1, 1, -1, 0, 2, 0, 0, 1, 1, 1, -1, 2, 0, 14, 5, -1, -1, 2, 3, 1, 0, 1, -1, 1, 0, 14, 1]
