	Dataset	No. topics	Label type	Score	Distributions
0	TB-within	4	multiclass	0.001242745164052608	[0.0015267175572519084, 0.0009587727708533077]
1	TB-within	4	binary	0.0018281535648994515	[0.0018281535648994515]
2	TB-within	4	unsupervised	0.0012409234082494053	[0.0009242144177449168, 0.001557632398753894]
3	TB-within	8	multiclass	0.0024691358024691358	[0.0024691358024691358]
4	TB-within	8	binary	0.02455246586004387	[0.0014858841010401188, 0.047619047619047616]
5	TB-within	8	unsupervised	0.0022026431718061676	[0.0022026431718061676]
6	TB-within	16	multiclass	0.026952732148843445	[0.0012738853503184713, 0.05263157894736842]
7	TB-within	16	binary	0.04230442176870748	[0.0012755102040816326, 0.08333333333333333]
8	TB-within	16	unsupervised	0.0025031289111389237	[0.0025031289111389237]
9	TB-within	32	multiclass	0.05628548256285482	[0.00145985401459854, 0.1111111111111111]
10	TB-within	32	binary	0.003968253968253968	[0.003968253968253968]
11	TB-within	32	unsupervised	0.0015247445588002864	[0.0015015015015015015, 0.0015479876160990713]
12	BGL-within	4	multiclass	0.08224304968200442	[0.4, 0.040268456375838924, 0.15384615384615385, 0.06382978723404255]
13	BGL-within	4	binary	0.07602898598407581	[0.4, 0.059880239520958084, 0.07692307692307693, 0.07142857142857142]
14	BGL-within	4	unsupervised	0.12429711246200609	[0.4, 0.03723404255319149, 0.5, 0.05714285714285714]
15	BGL-within	8	multiclass	0.10691118893246153	[0.4, 0.04195804195804196, 0.09090909090909091, 0.375, 0.3333333333333333]
16	BGL-within	8	binary	0.18942307692307692	[0.4, 0.07692307692307693, 1.0, 0.038461538461538464]
17	BGL-within	8	unsupervised	0.1324693064745374	[0.4, 0.042682926829268296, 0.6, 0.06666666666666667, 0.42857142857142855]
18	BGL-within	16	multiclass	0.10777621973578956	[0.4, 0.01639344262295082, 0.6666666666666666, 0.0625, 0.45454545454545453, 0.375, 0.14285714285714285]
19	BGL-within	16	binary	0.15363471172033344	[0.4, 0.058823529411764705, 0.014925373134328358, 0.45454545454545453, 0.45454545454545453, 1.0]
20	BGL-within	16	unsupervised	0.11601252196980684	[0.4, 0.0078125, 0.6, 0.45454545454545453, 0.05555555555555555, 0.42857142857142855, 0.3333333333333333]
21	BGL-within	32	multiclass	0.10777084793625365	[0.4, 0.6, 0.045454545454545456, 0.45454545454545453, 0.375, 0.14285714285714285, 0.1]
22	BGL-within	32	binary	0.12634680134680135	[0.4, 0.2222222222222222, 0.45454545454545453, 0.6, 0.044444444444444446, 0.1111111111111111, 0.2, 1.0]
23	BGL-within	32	unsupervised	0.12418961898215893	[0.4, 0.6, 0.45454545454545453, 0.05263157894736842, 0.5, 0.1, 0.3333333333333333]
24	TB-BGL-cross	4	multiclass	0.0885959939531368	[0.0336734693877551, 0.14351851851851852]
25	TB-BGL-cross	4	binary	0.1984961701557945	[0.022774327122153208, 0.17105263157894737, 0.75]
26	TB-BGL-cross	4	unsupervised	0.24531000911964024	[0.13106796116504854, 0.03535353535353535, 1.0]
27	TB-BGL-cross	8	multiclass	0.1763401034589897	[0.03516028955532575, 0.12556053811659193, 0.25, 1.0]
28	TB-BGL-cross	8	binary	0.0765993966425001	[0.022727272727272728, 0.15763546798029557, 0.0990990990990991, 0.3333333333333333]
29	TB-BGL-cross	8	unsupervised	0.09093028483487244	[0.029896907216494847, 0.15246636771300448, 0.25]
30	TB-BGL-cross	16	multiclass	0.08587494330921014	[0.02211874272409779, 0.10989010989010989, 0.1341991341991342, 0.23076923076923078, 0.5]
31	TB-BGL-cross	16	binary	0.1267325673968254	[0.024305555555555556, 0.12448132780082988, 0.08823529411764706, 1.0, 0.42857142857142855, 0.3]
32	TB-BGL-cross	16	unsupervised	0.09483540314670603	[0.02097902097902098, 0.07692307692307693, 0.14893617021276595, 0.1875, 0.6666666666666666]
