ComponentEventTemplate	Label	Count
ib_sm.test [ib_sm_sweep.c : <*> : ********************** NEW SWEEP ********************	-	23
postfix/cleanup 91C1EF20131 : message-id = <20060407201903.91C1EF20131@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x1d740	-	1
kernel MOSAL(1) : file_pgoff = 0x14081	-	1
kernel PanFS Client version : rhel_4_amd64/release <*> SMP	-	4921
kernel MOSAL(1) : file_pgoff = 0x16d4f	-	1
postfix/cleanup DF9C3F200A6 : message-id = <20060706152746.DF9C3F200A6@#56#.#207#>	-	1
postfix/cleanup E53895185F6 : message-id = <20051111181510.E53895185F6@tbird-#206#>	-	1
postfix/local <*> : to = <*> , orig_to = <*> , relay = local , delay = <*> , status = sent (forwarded as <*>	-	157
kernel MOSAL(1) : file_pgoff = 0x2d56e	-	1
postfix/cleanup 849E2F200A5 : message-id = <20060421124903.849E2F200A5@#56#.#207#>	-	1
postfix/cleanup A1353518A70 : message-id = <20060412185116.A1353518A70@tbird-#206#>	-	1
postfix/cleanup 9AD78864ABE : message-id = <20060709082836.9AD78864ABE@#56#.#207#>	-	1
ib_sm [ib_sm_sweep.c : 144] : A new IB node <*> : <*> : 6a : <*> : <*> : <*> : <*> : df was discovered and assigned LID <*>	-	2
watchd_mgr.x [INFO] : add appId <*> to watchd list.	-	56
kernel MOSAL(1) : file_pgoff = 0x2d045	-	1
kernel MOSAL(1) : file_pgoff = 0x1ab4e	-	2
ib_sm [ib_sm_bringup.c : 629] : Force neighbor port (node = <*> : <*> : 6a : <*> : <*> : <*> : <*> : fa , port = <*> , state = 4) to DOWN because (1) 1st sweep or (2) role change.	-	15
postfix/cleanup 10FB5F20126 : message-id = <20060427180153.0D201F20131@#56#.#207#>	-	1
postfix/cleanup 3CDB7518C2C : message-id = <20060228000328.3CDB7518C2C@tbird-#206#>	-	1
postfix/cleanup 5F12EF20085 : message-id = <20060706024249.5F12EF20085@#56#.#207#>	-	1
postfix/cleanup 146DAF20131 : message-id = <20060627052249.146DAF20131@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x1e39f	-	1
smartd Warning via mail to #7#@localhost.localdomain produced unexpected output (here truncated to <*> bytes) to STDOUT/STDERR : postdrop : warning : mail_queue_enter : create file maildrop/749285.17530 : Read-only file system postdrop : warning : mail_queue_enter : create file maildrop/749285.17530 : Read-only file system postdrop : warning : mail_queue_enter : create file maildrop/749285.17530 : Read-only file system postdrop : warning : mail_queue_enter : create file maildrop/749285.17530 : Read-only file system postdrop : warning : mail_queue_enter : create file maildrop/749285.17530 : Read-only file system postdrop : warning : mail_queue_enter : create file maildrop/749285.17530 : Read-only file system postdrop : warning : mail_queue_enter : create file maildrop/749285.17530 : Read-only file system postdrop : warning : mail_queue_enter : create file maildrop/749285.17530 : Read-only file system postdrop : warning : mail_queue_enter : create file maildrop/749285.17530 : Read-only file system postdrop : warning :	-	1
sudo #57# : TTY = pts/18 ; PWD = /home/#57# ; USER = root ; COMMAND = /usr/bin/ssh an538 service pbs_mom restart	-	1
postfix/cleanup 04998518B2F : message-id = <20060331065825.04998518B2F@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0x1907c	-	1
postfix/cleanup 6F573F200A8 : message-id = <20060710051247.6F573F200A8@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x2d4c0	-	7
kernel MOSAL(1) : file_pgoff = 0x7e22	-	24
postfix/cleanup 316EB518C09 : message-id = <20060228000326.316EB518C09@tbird-#206#>	-	1
mount mount.panfs : panfs is not configured in the kernel	-	267
kernel MOSAL(1) : file_pgoff = 0xdedf	-	34
kernel LSI Logic MegaRAID driver	-	260
kernel MOSAL(1) : file_pgoff = 0x2d30f	-	1
kernel <ffffffff80146501>{worker_thread+226} <ffffffff80132f56>{default_wake_function+0}	-	1
pbs_mom run_pelog , prolog/epilog failed , file : <*> , exit : <*> , nonzero p/e exit status	-	97
chassis_mgr.x [CONF] : [super] : reload	-	22
kernel 00000000bffa7e08 00000101bff69800	-	1
kernel MOSAL(1) : file_pgoff = 0x2d433	-	2
postfix/cleanup 52743F20126 : message-id = <20060406151023.51889F20131@#56#.#207#>	-	1
kernel kpacold : low <*> , high <*> , batch <*>	-	1
sshd debug1 : temporarily_use_uid : 50823/50823 (e = 50823/50823)	-	1
postfix/cleanup 1F334F20131 : message-id = <20060428052805.1F334F20131@#56#.#207#>	-	1
postfix/cleanup 660CAC67BF : message-id = <20060119110202.558D8C67BC@#961#>	-	1
postfix/cleanup E09F7AC407D : message-id = <20060428132708.E09F7AC407D@tbird-#2124#>	-	1
postfix/cleanup AEF0F518249 : message-id = <20060208163501.AEF0F518249@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0x2d3ce	-	1
kernel MOSAL(1) : file_pgoff = 0xd76a	-	5
postfix/cleanup 42599AC4089 : message-id = <20060501020238.42599AC4089@tbird-#2124#>	-	1
kernel MOSAL(1) : file_pgoff = 0x1c7ec	-	1
"kernel libcfs : no version for "" struct_module "" found : kernel tainted."	-	11
ib_sm [INFO] : Cold synchronize multicast table	-	36
postfix/cleanup 7FECB5181D1 : message-id = <20060120111054.7FECB5181D1@tbird-#206#>	-	1
postfix/cleanup 7B3F0AC40AB : message-id = <20060502160621.7B3F0AC40AB@tbird-#2124#>	-	1
postfix/cleanup C5D665181D1 : message-id = <20060120153731.C5D665181D1@tbird-#206#>	-	1
instsvcdrv dcdbas device driver unloaded	-	555
kernel MOSAL(1) : file_pgoff = 0x15ef6	-	1
kernel MOSAL(1) : file_pgoff = 0x10cbb	-	1
kernel MOSAL(1) : file_pgoff = 0x12b8e	-	7
kernel MOSAL(1) : file_pgoff = 0x17b40	-	19
kernel MOSAL(1) : file_pgoff = 0x66c7	-	1
kernel <ffffffff8014b5df>{do_futex+706} <ffffffff80302f80>{thread_return+42}	-	1
dhclient bound to <*> -- renewal in <*> seconds.	-	560
kernel MOSAL(1) : file_pgoff = 0xfa58	-	1
kernel MOSAL(1) : file_pgoff = 0x1932a	-	1
postfix/cleanup 471B5864ABE : message-id = <20060412203104.471B5864ABE@#56#.#207#>	-	1
kernel 0000010037ded7f0 00000000000011dd	-	1
kernel MOSAL(1) : file_pgoff = 0x2d78d	-	1
kernel MOSAL(1) : file_pgoff = 0x15f09	-	5
kernel MOSAL(1) : file_pgoff = 0x1133b	-	1
"gconfd (#210#-19485) Resolved address "" xml : readonly : <*> "" to a read-only configuration source at position <*>"	-	1
postfix/cleanup 27442F200A9 : message-id = <20060619112747.27442F200A9@#56#.#207#>	-	1
postfix/cleanup E2FF7518312 : message-id = <20051111054724.E2FF7518312@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0x117a2	-	1
kernel MOSAL(1) : file_pgoff = 0x1ab1c	-	3
kernel MOSAL(1) : file_pgoff = 0xc6eb	-	1
kernel <*> : 0) : avc : denied { search } for pid = <*> comm = ntpdate name = dev dev = ram0 ino = <*> scontext = user_u : system_r : <*> : 0) : avc : denied { getattr } for pid = <*> comm = ntpd path = /dev/null dev = ram0 ino = <*> scontext = user_u : system_r : ntpd_t tcontext = system_u : object_r : file_t tclass = chr_file	-	2
"gconfd (#210#-31616) Resolved address "" xml : readwrite : <*> "" to a writable configuration source at position <*>"	-	1
postfix/cleanup 8DD34518100 : message-id = <20051213161533.8DD34518100@tbird-#206#>	-	1
postfix/cleanup A58D1518B52 : message-id = <20051112161508.A58D1518B52@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0x2aec5	-	46
kernel MOSAL(1) : file_pgoff = 0x2d5fd	-	18
postfix/cleanup 536E5518A70 : message-id = <20060412191127.536E5518A70@tbird-#206#>	-	1
kernel <*> pa0c9f>{child_rip+0}	-	1
postfix/cleanup 0C4F7AC4081 : message-id = <20060419210213.0C4F7AC4081@tbird-#2124#>	-	1
kernel MOSAL(1) : file_pgoff = 0x19326	-	1
postfix/cleanup 763D4F200A9 : message-id = <20060630052249.763D4F200A9@#56#.#207#>	-	1
kernel CPU0 : Initial APIC ID : <*> , Physical Processor ID : <*>	-	1
kernel MOSAL(1) : file_pgoff = 0xecf0	-	2
kernel Device sda not ready.	-	134
postfix/cleanup E7836F20126 : message-id = <20060405230402.E7836F20126@#56#.#207#>	-	1
postfix/cleanup 2BC25F200A7 : message-id = <20060415152503.2BC25F200A7@#56#.#207#>	-	1
kernel kpanfs_tch <*>	-	1
kernel ACPI : PCI interrupt <*> : <*> : 1f.1[A] : no GSI	-	1
kernel <ffffffff802a9763>{dev_queue_xmit+525} <ffffffff802c55d6>{ip_queue_xmit+951}	-	1
"RT Can't locate object method "" desc "" via package "" RAS : : CustomField "" at RAS.pm line 167. (/opt/rt3/lib/RT.pm : 295)"	-	1
kernel MOSAL(1) : file_pgoff = 0x29f9e	-	48
postfix/cleanup 31A23F200A0 : message-id = <20060412025504.31A23F200A0@#56#.#207#>	-	1
anacron Updated timestamp for job <*> to <*>	-	21619
postfix/master warning : /usr/libexec/postfix/pickup : bad command startup -- throttling	-	271
ib_sm.test [INFO] : program pkey table elapsed time = 467848usec	-	1
postfix/cleanup C38F0F20096 : message-id = <20060610155748.C38F0F20096@#56#.#207#>	-	1
kernel <*> 00000101b2275800 <*> <*>	-	1
audit(1142495409.370:1) <*>	-	1
kernel MOSAL(1) : file_pgoff = 0xd3c7	-	2
kernel <ffffffff8017c4a0>{set_anon_super+82} <ffffffff80190476>{get_filesystem+18}	-	1
postfix/cleanup 815DCF20097 : message-id = <20060621100845.815DCF20097@#56#.#207#>	-	1
ib_sm [INFO] : Master SM Proceeds with configuration of entire subnet	-	4
RT RT : : Handle = HASH(0x18ec9c0) couldn't execute the query 'INSERT INTO ET_Events (Type , Created , Asset_id , Description) VALUES (? , ? , ? , ?)' at /usr/lib/perl5/site_perl/5.8.5/DBIx/SearchBuilder/Handle.pm line <*> DBIx : : SearchBuilder : : Handle : : SimpleQuery('RT : : Handle = HASH(0x18ec9c0)' , 'INSERT INTO ET_Events (Type , Created , Asset_id , Description) ...' , <*> , ' <*> ' , <*> , 'sm event8') called at /usr/lib/perl5/site_perl/5.8.5/DBIx/SearchBuilder/Handle.pm line <*> DBIx : : SearchBuilder : : Handle : : Insert('RT : : Handle = HASH(0x18ec9c0)' , 'ET_Events' , 'Type' , <*> , 'Created' , ' <*> ' , 'Asset_id' , <*> , 'Description' , ...) called at /usr/lib/perl5/site_perl/5.8.5/DBIx/SearchBuilder/Handle/mysql.pm line <*> DBIx : : SearchBuilder : : Handle : : mysql : : Insert('RT : : Handle = HASH(0x18ec9c0)' , 'ET_Events' , 'Type' , <*> , 'Created' , ' <*> ' , 'Asset_id' , <*> , 'Description' , ...) called at /usr/lib/perl5/site_perl/5.8.5/DBIx/SearchBuilder/Record.pm line <*> DBIx : : SearchBuilder : : Record : : Create('RTx : : EventTrack	-	1
kernel MOSAL(1) : file_pgoff = 0x2d6ca	-	2
postfix/cleanup 22C8EF200A8 : message-id = <20060416172246.22C8EF200A8@#56#.#207#>	-	1
postfix/cleanup 5822CF2012E : message-id = <20060624215806.5822CF2012E@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x1a72b	-	2
postfix/cleanup 612F0864ABE : message-id = <20060709082338.612F0864ABE@#56#.#207#>	-	1
sshd debug1 : read PEM private key done : type DSA	-	2
su <*> : no v5 creds for user <*> , skipping session cleanup	-	325
kernel panfs : raid : <*> : dag : <*> : node : Setattr Node : status : <*> child : <*> : child done : <*> obsd retries <*> , dev_id <*> obsd_firing_time : <*> : <*>	-	3
kernel MOSAL(1) : file_pgoff = 0x12b23	-	1
kernel MOSAL(1) : file_pgoff = 0x11af4	-	8
sshd User <*> not allowed because /etc/nologin exists	-	2
kernel MOSAL(1) : file_pgoff = 0x1f958	-	4
kernel MOSAL(1) : file_pgoff = 0xe159	-	1
ib_sm [ib_sm_bringup.c : 562] : Program port state , node = <*> : <*> : ad : <*> : <*> : <*> : <*> <*> ae , port = <*> , current state <*> , neighbor node = <*> : <*> : ad : <*> : <*> : <*> : <*> <*> ae , port = <*> , current state <*>	-	136
kernel 0000010092c91030 000000000000016f	-	1
kernel <ffffffff80187ea6>{fasync_helper+205} <ffffffff8018a4e9>{__posix_lock_file+1147}	-	1
kernel MOSAL(1) : file_pgoff = 0xd0b5	-	1
kernel MOSAL(1) : file_pgoff = 0xf91a	-	2
postfix/cleanup 9E313F20131 : message-id = <20060406185202.9E313F20131@#56#.#207#>	-	1
postfix/cleanup 1DEA3518C01 : message-id = <20051112181509.1DEA3518C01@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0x5ca0	-	4
instsvcdrv dcdbas device driver load failed for kernel 2.6.9-34.EL_lustre. <*> smp. See /var/log/dcdbas.log for output from modprobe.	-	384
postfix/cleanup 9EA10F200E0 : message-id = <20060423234003.9EA10F200E0@#56#.#207#>	-	1
kernel BIOS-e820 : 00000000e0000000 - 00000000fec90000 (reserved)	-	951
kernel MOSAL(1) : file_pgoff = 0x12f58	-	2
kernel kpa : pan_sys_thread_launch+0}	-	1
postfix/cleanup D3E96F200A5 : message-id = <20060421214506.D3E96F200A5@#56#.#207#>	-	1
kernel <ffffffff801120bb>{child_rip+8} <ffffffffa07f7d4e>{ : llite : ll_close_thread+0}	-	1
kernel MOSAL(1) : file_pgoff = 0x1cb4b	-	1
postfix/cleanup B39E2AC4073 : message-id = <20060310165206.B39E2AC4073@tbird-#2124#>	-	1
kernel MOSAL(1) : file_pgoff = 0xd25c	-	1
kernel MOSAL(1) : file_pgoff = 0x1a732	-	1
postfix/cleanup 63555AC4078 : message-id = <20060421081133.63555AC4078@tbird-#2124#>	-	1
postfix/cleanup 1BCF8F200A9 : message-id = <20060405234003.1874AF20126@#56#.#207#>	-	1
umount umount2 : Device or resource busy	-	40
kernel MOSAL(1) : file_pgoff = 0x958b	-	2
postfix/cleanup B12F7518CE9 : message-id = <20051113041507.B12F7518CE9@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0x10949	-	2
postfix/cleanup 5E0B9864ABE : message-id = <20060413041303.5E0B9864ABE@#56#.#207#>	-	1
postfix/cleanup 9505CF2009E : message-id = <20060301220743.9505CF2009E@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x13b67	-	1
kernel MOSAL(1) : file_pgoff = 0xd788	-	1
kernel MOSAL(1) : file_pgoff = 0xdfa9	-	1
kernel MOSAL(1) : file_pgoff = 0x2d221	-	1
dhcpd DHCPREQUEST for <*> ( <*> ) from <*> : <*> : <*> : e5 : ca : ac via eth1 : unknown lease <*> .	-	3
kernel MOSAL(1) : file_pgoff = 0x2cf74	-	3
