	model	templating	remove_digits_special_chars	lowercase	split_words	td	pjs	kld	ccv	cnpmi	umass	cuci	random_rating_topic	random_word_intrusion_topic	random_word_intrusion_word
0	lda	templated_deduplicated	True	True	True	0.925	0.011695906432748537	40917.28601149323	0.40551284951591426	-0.08608744561909738	-7.8828881387389025	-4.194008161561242	['type', 'video', 'null', 'key', 'ffffffff', 'alarm', 'pid', 'neutral', 'dev', 'stream']	['mct', 'provider', 'capability', 'mosal', 'pgoff', 'file']	capability
1	bertopic	templated_deduplicated	True	True	True	0.825	0.017543859649122806	22.41943526368504	0.5344104858867478	-0.0010710892944633017	-7.749051480616561	-3.2822806319490527	['task', 'start', 'attempt', 'thread', 'java', 'socket', 'error', 'package', 'service', 'tcp']	['conf', 'dhcp', 'lease', 'eth', 'wrote', 'file']	file
2	lda	templated_deduplicated	True	True	False	0.9125	0.013157894736842105	46207.03499019147	0.3562012100837876	-0.10363626790579705	-9.880554966270353	-5.497029079578063	['count', 'pkg', 'java', 'type', 'sensor', 'device', 'thread', 'main', 'alarm', 'stream']	['job', 'illegalstateexception', 'null', 'ips', 'true', 'false']	illegalstateexception
3	bertopic	templated_deduplicated	True	True	False	0.8	0.03280637491163807	28.61587533191635	0.4253010974859055	-0.09510366707379136	-10.813013550588341	-5.50357182994964	['mosal', 'pgoff', 'file', 'ffffffff', 'neutral', 'publickey', 'suite', 'typename', 'fff', 'versionscope']	['job', 'jobs', 'class', 'create']	class
4	lda	templated_deduplicated	True	False	True	0.8875	0.019632414369256473	40323.324885516944	0.3962775730361793	-0.12477332390499858	-10.456608173805817	-6.090262388792125	['Info', 'user', 'Thread', 'User', 'Client', 'Tcp', 'List', 'Provider', 'authentication', 'java']	['set', 'Service', 'PKG', 'check', 'INFO', 'Time']	PKG
5	bertopic	templated_deduplicated	True	False	True	0.95	0.008928571428571428	27.685474469331325	0.5176254048539712	0.03885582738829583	-8.28233037644514	-3.422413093245522	['Package', 'Installed', 'package', 'Superseded', 'Default', 'Update', 'Staged', 'Plan', 'pending', 'Absent']	['file', 'pgoff', 'cache', 'ffffffff', 'Data', 'MOSAL']	Data
6	lda	templated_deduplicated	True	False	False	0.85	0.03279030910609858	33528.184945413646	0.41029632749033584	-0.07359653409225132	-8.73899760055864	-4.938909281632914	['task', 'START', 'ATTEMPT', 'session', 'state', 'INFO', 'stream', 'len', 'set', 'thread']	['denied', 'MOSAL', 'PKG', 'file', 'pgoff', 'user']	PKG
7	bertopic	templated_deduplicated	True	False	False	0.9125	0.01923076923076923	30.553290379151218	0.3393256130977242	-0.11849847858927172	-11.661094976657232	-5.953058393485055	['false', 'INFO', 'true', 'qiyi', 'LOG', 'null', 'state', 'java', 'type', 'android']	['flgs', 'setup', 'speconf', 'CAP', 'Configure', 'Install']	flgs
8	lda	templated_deduplicated	False	True	True	0.8	0.038429406850459466	36350.36393679962	0.4369286878704949	-0.08852211083599434	-8.42582712646503	-4.460920776487905	['key', 'video', 'file', 'neutral', 'null', 'state', 'type', 'event', 'public', 'status']	['pid', 'download', 'null', 'qiyi', 'qiyi_log_info', 'neutral']	neutral
9	bertopic	templated_deduplicated	False	True	True	0.7875	0.027381566661752423	24.90125408445225	0.5405430356506702	0.07670918948681	-7.510808350304273	-2.635957352086525	['video', 'alarm', 'false', 'null', 'state', 'qiyivideo', 'sensor', 'presenter', 'type', 'true']	['contact', 'conversation', 'list', 'pause', 'fragment', 'lifecycle']	pause
10	lda	templated_deduplicated	False	True	False	0.7875	0.04957246056317264	41370.50849805649	0.3191236503964098	-0.17230477843959724	-10.685370797201184	-6.487670882816888	['false', 'null', 'qiyi_log_info', 'size', 'true', 'high', 'lifecycle', 'low', 'len', 'result']	['pid', 'error', 'system_u', 'illegalstateexception', 'int', 'port']	illegalstateexception
11	bertopic	templated_deduplicated	False	True	False	0.8125	0.02196668140940586	29.426676134702237	0.39935533546657254	-0.09049291050853159	-11.479937634259278	-5.688026121324899	['kvi', 'equator', 'length']	['configure', 'cap', 'dell', 'setup', 'install', 'client']	client
12	lda	templated_deduplicated	False	False	True	0.9125	0.015455304928989139	39193.794840255556	0.4451578566331123	-0.1347492661299879	-10.06088942694642	-5.95093690415688	['MOSAL', 'file_pgoff', 'Could', 'ISP', 'wake', 'exited', 'timestamp', 'signal', 'TDLS', 'mail_queue_enter']	['qiyi_LOG_INFO', 'CUPID', 'Download', 'false', 'true', 'Data']	CUPID
13	bertopic	templated_deduplicated	False	False	True	0.9	0.019632414369256473	29.514329097095185	0.5353483336607979	-0.044240945178614086	-9.483460593441414	-4.7296115620424395	['MOSAL1', 'filepgoff', '0x00000000', 'systemu', 'systemr', 'denied', 'port', 'pid', 'dev', 'kernelt']	['processing', 'Activity', 'Installer', 'Starting', 'setup', 'Install']	Activity
14	lda	templated_deduplicated	False	False	False	0.9	0.015037593984962405	39918.04253984441	0.34750886462667	-0.1775660139928407	-12.276628264913661	-7.842148251505389	['false', 'true', 'state', '中国移动', 'null', 'mCurrentState', 'INFO', 'wlan0', 'port', 'home']	['MOSAL', 'r17', 'r18', 'file_pgoff', 'r16', '_kCFStreamErrorCodeKey']	_kCFStreamErrorCodeKey
15	bertopic	templated_deduplicated	False	False	False	0.8375	0.017110791685095092	31.6543770735638	0.3328685267099929	-0.14796403408878786	-13.157642486784386	-6.426183146114049	['HwAppPermissions', 'value', 'permissionCfg', 'permissionCode', 'trust', 'type', 'group', 'permissionType', 'size', 'fixed']	['onDestroy', 'start', 'lifecycle', 'onCreate', 'ConversationList', 'onSaveInstanceState']	start
