ComponentEventTemplate	Label	Count
postfix/cleanup 18571518D6E : message-id = <20051113054508.18571518D6E@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0xc799	-	8
kernel cpu <*> hot : low <*> , high 9<4> <ffffffffa031f794>{ : panfs : pan_sys_thread_launch+228}	-	1
kernel MOSAL(1) : file_pgoff = 0x190d4	-	1
kernel MOSAL(1) : file_pgoff = 0x1a733	-	1
solproxy <*>	-	9
postfix/cleanup 15D68F200AB : message-id = <20060329110203.15D68F200AB@#56#.#207#>	-	1
kernel CR2 : 00000000000000f0 CR3 : 00000000bff08000 CR4 : 00000000000006e0	-	1
postfix/cleanup 14315AC4073 : message-id = <20060320165935.14315AC4073@tbird-#2124#>	-	1
kernel MOSAL(1) : file_pgoff = 0x13a19	-	1
postfix/cleanup 02F08F20126 : message-id = <20060426215502.02F08F20126@#56#.#207#>	-	1
kernel fs_client : end_write_length > pannode->attribs.cached_length (15406528 > 15130000)	-	1
postfix/cleanup 06934864ABE : message-id = <20060703102248.06934864ABE@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x9d79	-	1
kernel MOSAL(1) : file_pgoff = 0x1ce44	-	3
kernel Out of Memory : Killed process <*> <*>	-	933
postfix/cleanup 70ECF5190AB : message-id = <20051114084505.70ECF5190AB@tbird-#206#>	-	1
postfix/cleanup D30C2518971 : message-id = <20060227235907.D30C2518971@tbird-#206#>	-	1
rpc.statd <*> <*> <*>	-	3745
postfix/cleanup C0171F2009E : message-id = <20060420012753.C0171F2009E@#56#.#207#>	-	1
postfix/cleanup 85521F200A7 : message-id = <20060415163404.85521F200A7@#56#.#207#>	-	1
postfix/cleanup 3E235AC4074 : message-id = <20060501002142.3E235AC4074@tbird-#2124#>	-	1
kernel MOSAL(1) : file_pgoff = 0x1f7ad	-	1
smartd Device : /dev/sda , SMART Failure : FAILURE PREDICTION THRESHOLD EXCEEDED	-	192
postfix/cleanup BB924AC419B : message-id = <20060516041529.BB924AC419B@tbird-#2124#>	-	1
postfix/cleanup F3CCDF200A7 : message-id = <20060413172202.F3CCDF200A7@#56#.#207#>	-	1
postfix/cleanup E6D74518EA2 : message-id = <20051113151508.E6D74518EA2@tbird-#206#>	-	1
ib_sm [ib_sm_discovery.c : 1149] : Failed discover node test , node <*> : <*> : 6a : <*> : <*> : <*> : <*> : fc , port_num = <*> , error code <*>	-	1
postfix/cleanup 0C478F20097 : message-id = <20060711134251.0C478F20097@#56#.#207#>	-	1
postfix/cleanup 7B32A51827A : message-id = <20060217020047.7B32A51827A@tbird-#206#>	-	1
kernel MOSAL(1) : file_pgoff = 0x14e51	-	10
postfix/cleanup 699DEF200A6 : message-id = <20060706114244.699DEF200A6@#56#.#207#>	-	1
sshd debug1 : sshd version OpenSSH_3.9p1	-	1
netdump: inserting netconsole module with arguments magic1 = 0x6770621d magic2 = 0x3a0c3481 netdump = @ <*> /eth0 , #2039#@ <*> /00 : <*> : E8 : 0F : <*> : 1C	-	1
postfix/cleanup ADAE3F200A8 : message-id = <20060404200102.A79E7F20126@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x7de4	-	1
postfix/cleanup 8F9EBF200A5 : message-id = <20060421034746.8F9EBF200A5@#56#.#207#>	-	1
kernel panfs exception : at l_file.c : <*> , 0x1a31 (fs client : Input/output error) , unknown error : (5) , rollback : <*>	-	6
postfix/cleanup DB1B5F20133 : message-id = <20060409094501.DB1B5F20133@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x2d435	-	2
postfix/cleanup 46597864ABE : message-id = <20060415210246.46597864ABE@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x2d344	-	2
kernel <*> : panfs : <*> <*> <*> high <*> , batch <*>	-	3
kernel MOSAL(1) : file_pgoff = 0xe46e	-	4
kernel MOSAL(1) : file_pgoff = 0x1d6b8	-	1
postfix/cleanup 88ABAF20132 : message-id = <20060408121904.88ABAF20132@#56#.#207#>	-	1
kernel <ffffffff80228124>{read_chan+1059} <ffffffff80132f56>{default_wake_function+0}	-	1
moab MCPRestore(RM , base , Optr , Found)	-	1
postfix/cleanup 03922F200A6 : message-id = <20060705040325.03922F200A6@#56#.#207#>	-	1
kernel 00000101bec747f0 000000000000045f	-	1
kernel MOSAL(1) : file_pgoff = 0x1ae14	-	2
sendmail <*> : to = <#113#@#207#> , ctladdr = <#7#@localhost.localdomain> (0/0) , delay = <*> : <*> : <*> , xdelay = <*> : <*> : <*> , mailer = esmtp , pri = <*> , relay = #2558#. [#2559#] , dsn = 2.0.0 , stat = Sent ( <*> Queued mail for delivery)	-	2
kernel MOSAL(1) : file_pgoff = 0x814b	-	1
kernel MOSAL(1) : file_pgoff = 0x1ab3a	-	2
postfix/cleanup 108AFF20131 : message-id = <20060427094146.108AFF20131@#56#.#207#>	-	1
ib_sm.test [INFO] : Cold synchronize partition port table	-	1
postfix/cleanup 86D2151899A : message-id = <20060306110438.86D2151899A@tbird-#206#>	-	1
postfix/cleanup 5BEB3F200A2 : message-id = <20060707162748.5BEB3F200A2@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x2d4b1	-	9
kernel MOSAL(1) : file_pgoff = 0x12ff9	-	1
kernel <ffffffffa00a65ef>{ : ts_kernel_services : _tsKernelThreadStart+223}	-	3
kernel MOSAL(1) : file_pgoff = 0x15334	-	1
kernel Node <*> Normal free : 159600kB min : 2696kB low : 5392kB high : 8088kB active : 6960kB inactive : 3364kB present : <*> hot : low <*> , high <*> , batch <*>	-	1
kernel MOSAL(4) : mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third MOSAL(1) : page_shift = <*>	-	1
kernel <ffffffff80192782>{sys_mount+186} <ffffffff801101c6>{system_call+126}	-	1
logger Kickstart Install : Dell BIOS CONF Package	-	416
postfix/cleanup 2859FF200A7 : message-id = <20060709211247.2859FF200A7@#56#.#207#>	-	1
kernel Your time source seems to be instable or some driver is hogging interupts	-	72
ib_sm.x [ib_sm_routing.c : <*> : Failed to set LFT to switch = <*>	-	1215
kernel MOSAL(1) : file_pgoff = 0x55e	-	1
kernel MOSAL(1) : file_pgoff = 0x2d2ed	-	3
kernel MOSAL(1) : file_pgoff = 0x1bc89	-	1
postfix/cleanup 7AE2EF20133 : message-id = <20060630000759.7AE2EF20133@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x1f880	-	44
kernel MOSAL(1) : file_pgoff = 0xf68b	-	2
kernel Bootdata ok (command line is initrd = <*> <*> <*> noht tsc console = tty0 console = ttyS0 , <*> root = <*> : <*> , <*> <*> tcp , rsize = <*> , wsize = <*> quiet BOOT_IMAGE = <*> <*> <*>	-	27
kernel MOSAL(1) : file_pgoff = 0x1ae17	-	1
pbs_mom Invalid argument (22) in sessions , <*> : get_proc_stat	-	2
kernel MOSAL(1) : file_pgoff = 0xdc71	-	49
ib_sm [INFO] : Session not initiated : Cold Sync Limit exceeded for Standby SM guid <*> : <*> : ad : <*> : <*> : <*> : <*> : 2d	-	25
postfix/cleanup 9AA2E5181AA : message-id = <20051110224514.9AA2E5181AA@tbird-#206#>	-	1
postfix/cleanup 89FBAAC4074 : message-id = <20060509210809.89FBAAC4074@tbird-#2124#>	-	1
kernel 00000000a021f160 00000101b2273030	-	1
xinetd START : tftp pid = <*> from = <*>	-	376
postfix/cleanup 83B3AF200A1 : message-id = <20060412161002.83B3AF200A1@#56#.#207#>	-	1
postfix/cleanup 6DB9CF20131 : message-id = <20060407185502.6DB9CF20131@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0xb3b2	-	1
postfix/cleanup 38856AC4074 : message-id = <20060514100203.38856AC4074@tbird-#2124#>	-	1
postfix/cleanup D1F4951898E : message-id = <20060303122754.D1F4951898E@tbird-#206#>	-	1
postfix/cleanup 8A8425181D1 : message-id = <20060120131106.8A8425181D1@tbird-#206#>	-	1
kernel CPU : Trace cache : 12K uops<6>CPU : L2 cache : 2048K	-	2
kernel MOSAL(1) : file_pgoff = 0x1e25d	-	2
postfix/cleanup 90767F200A3 : message-id = <20060704072745.90767F200A3@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0xcc04	-	5
postfix/cleanup 02EFBF20131 : message-id = <20060626045247.02EFBF20131@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x1a7f9	-	1
kernel MOSAL(1) : file_pgoff = 0x59f4	-	1
kernel MOSAL(1) : file_pgoff = 0x54b	-	17
kernel MOSAL(1) : file_pgoff = 0x16d8e	-	2
kernel MOSAL(1) : file_pgoff = 0x1464c	-	1
postfix/cleanup 8A5BC518BCF : message-id = <20060228000320.8A5BC518BCF@tbird-#206#>	-	1
postfix/cleanup 6377FF2012E : message-id = <20060622104252.6377FF2012E@#56#.#207#>	-	1
kernel MOSAL(1) : file_pgoff = 0x1bccf	-	1
postfix/cleanup C621FF2009E : message-id = <20060430100218.BB570F20132@#56#.#207#>	-	1
postfix/cleanup 6DA13F200A9 : message-id = <20060416103703.6DA13F200A9@#56#.#207#>	-	1
postfix/cleanup 66035F200A2 : message-id = <20060708160300.66035F200A2@#56#.#207#>	-	1
kernel <ffffffff8015fd01>{cache_alloc_refill+637} <ffffffff8015f9b3>{__kmalloc+123}	-	1
kernel MOSAL(1) : file_pgoff = 0xb576	-	19
kernel MOSAL(1) : file_pgoff = 0xcd49	-	1
kernel MOSAL(1) : file_pgoff = 0xc5ea	-	1
kernel MOSAL(1) : file_pgoff = 0xfda3	-	1
postfix/cleanup EDC1D518E9B : message-id = <20060228000401.EDC1D518E9B@tbird-#206#>	-	1
-- root <*> <*> <*> <*>	-	38
kernel MOSAL(1) : b_eff[4972] : mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxsys/obj_host_amd64_custom1_rhel4/mlxsys/mosal_iobuf.c : <*> : MOSAL_mlock_iobuf fai <*>	-	1
kernel MOSAL(1) : file_pgoff = 0x11138	-	2
kernel Intel(R) PRO/1000 Network Driver - version <*>	-	4149
